accession	description
"AB434601"	"Fagus crenata FcMYBC9 mRNA for transcription factor MYBC9, partial cds."
"AB434624"	"Fagus crenata FcMYB267 gene for transcription factor MYB267, partial cds."
"AB500075"	"Fagus crenata FcMYBFL11 mRNA for transcription factor MYBFL11, partial cds."
"AB500067"	"Fagus crenata FcMYBR12 mRNA for transcription factor MYBR12, partial cds."
"AB434641"	"Fagus crenata FcMYB459 gene for transcription factor MYB459, partial cds."
"AB434560"	"Fagus crenata FcMYBS15 mRNA for transcription factor MYBS15, partial cds."
"AB434566"	"Fagus crenata FcMYBM1 mRNA for transcription factor MYBM1, partial cds."
"MT727334"	"Fagus crenata isolate 463_2 LOC115989483-LOC115989176 intergenic spacer, partial sequence."
"AB043752"	"Fagus crenata chloroplast DNA, trnL-trnF spacer region, haplotype:FC1b."
"AB434561"	"Fagus crenata FcMYBS16 mRNA for transcription factor MYBS16, partial cds."
"AB434637"	"Fagus crenata FcMYB359 gene for transcription factor MYB359, partial cds."
"AB043716"	"Fagus crenata chloroplast DNA, trnT-trnL spacer region, haplotype:FC6."
"AB434605"	"Fagus crenata FcMYBC13 mRNA for transcription factor MYBC13, partial cds."
"MT727245"	"Fagus crenata isolate 434_1 LOC115955630-LOC115958511 intergenic spacer, partial sequence."
"LC497649"	"Fagus crenata Karikomi_DH146 FcMYB1603 gene for transcription factor FcMYB1603, partial cds."
"LC497618"	"Fagus crenata Karikomi_DH115 FcMYB1603 gene for transcription factor FcMYB1603, partial cds."
"LC497543"	"Fagus crenata Karikomi_DH040 FcMYB1603 gene for transcription factor FcMYB1603, partial cds."
"LC497526"	"Fagus crenata Karikomi_DH023 FcMYB1603 gene for transcription factor FcMYB1603, partial cds."
"LC497657"	"Fagus crenata Karikomi_DH154 FcMYB1603 gene for transcription factor FcMYB1603, partial cds."
"LC497592"	"Fagus crenata Karikomi_DH089 FcMYB1603 gene for transcription factor FcMYB1603, partial cds."
"LC497588"	"Fagus crenata Karikomi_DH085 FcMYB1603 gene for transcription factor FcMYB1603, partial cds."
"OK419270"	"Fagus crenata voucher TW020565 trnH-psbA intergenic spacer, partial sequence chloroplast."
"LC497506"	"Fagus crenata Karikomi_DH003 FcMYB1603 gene for transcription factor FcMYB1603, partial cds."
"LC497552"	"Fagus crenata Karikomi_DH049 FcMYB1603 gene for transcription factor FcMYB1603, partial cds."
"LC497514"	"Fagus crenata Karikomi_DH011 FcMYB1603 gene for transcription factor FcMYB1603, partial cds."
"LC497550"	"Fagus crenata Karikomi_DH047 FcMYB1603 gene for transcription factor FcMYB1603, partial cds."
"MT728622"	"UNVERIFIED: Fagus crenata isolate 463_2 hypothetical protein (LOC115977735) gene, partial sequence."
"LC497646"	"Fagus crenata Karikomi_DH143 FcMYB1603 gene for transcription factor FcMYB1603, partial cds."
"OK419050"	"Fagus crenata voucher TW024795 trnH-psbA intergenic spacer, partial sequence chloroplast."
"LC497620"	"Fagus crenata Karikomi_DH117 FcMYB1603 gene for transcription factor FcMYB1603, partial cds."
"OK416582"	"Fagus crenata voucher TW024822 trnH-psbA intergenic spacer, partial sequence chloroplast."
"MT727741"	"UNVERIFIED: Fagus crenata isolate 434_1 hypothetical protein (LOC115960913) gene, partial sequence."
"LC497627"	"Fagus crenata Karikomi_DH124 FcMYB1603 gene for transcription factor FcMYB1603, partial cds."
"LC497660"	"Fagus crenata Karikomi_DH157 FcMYB1603 gene for transcription factor FcMYB1603, partial cds."
"AB043730"	"Fagus crenata chloroplast trnL gene for tRNA-Leu, intron, haplotype:FC1a."
"LC497644"	"Fagus crenata Karikomi_DH141 FcMYB1603 gene for transcription factor FcMYB1603, partial cds."
"LC497667"	"Fagus crenata Karikomi_DH164 FcMYB1603 gene for transcription factor FcMYB1603, partial cds."
"LC497513"	"Fagus crenata Karikomi_DH010 FcMYB1603 gene for transcription factor FcMYB1603, partial cds."
"LC497642"	"Fagus crenata Karikomi_DH139 FcMYB1603 gene for transcription factor FcMYB1603, partial cds."
"MT728619"	"UNVERIFIED: Fagus crenata isolate 448_1 hypothetical protein (LOC115977735) gene, partial sequence."
"LC497572"	"Fagus crenata Karikomi_DH069 FcMYB1603 gene for transcription factor FcMYB1603, partial cds."
"MT728617"	"UNVERIFIED: Fagus crenata isolate 434_1 hypothetical protein (LOC115977735) gene, partial sequence."
"LC497628"	"Fagus crenata Karikomi_DH125 FcMYB1603 gene for transcription factor FcMYB1603, partial cds."
"LC497584"	"Fagus crenata Karikomi_DH081 FcMYB1603 gene for transcription factor FcMYB1603, partial cds."
"LC497641"	"Fagus crenata Karikomi_DH138 FcMYB1603 gene for transcription factor FcMYB1603, partial cds."
"LC497609"	"Fagus crenata Karikomi_DH106 FcMYB1603 gene for transcription factor FcMYB1603, partial cds."
"OK418324"	"Fagus crenata voucher HRS075 trnH-psbA intergenic spacer, partial sequence chloroplast."
"LC497504"	"Fagus crenata Karikomi_DH001 FcMYB1603 gene for transcription factor FcMYB1603, partial cds."
"OK419469"	"Fagus crenata voucher TW020599 trnH-psbA intergenic spacer, partial sequence chloroplast."
"LC497602"	"Fagus crenata Karikomi_DH099 FcMYB1603 gene for transcription factor FcMYB1603, partial cds."
"AB043737"	"Fagus crenata chloroplast trnL gene for tRNA-Leu, intron, haplotype:FC6."
"LC497557"	"Fagus crenata Karikomi_DH054 FcMYB1603 gene for transcription factor FcMYB1603, partial cds."
"AB043735"	"Fagus crenata chloroplast trnL gene for tRNA-Leu, intron, haplotype:FC4b."
