accession	description
"WAQ68837"	"Fagus crenata (Japanese beech) partial LEAFY protein"
"QBB88691"	"Fagus crenata (Japanese beech) ribosomal protein S7"
"WPW48058"	"Fagus crenata (Japanese beech) ribosomal protein L16"
"WPW47892"	"Fagus crenata (Japanese beech) ribosomal protein S8"
"WPW47896"	"Fagus crenata (Japanese beech) ribosomal protein S19"
"WAQ68848"	"Fagus crenata (Japanese beech) partial LEAFY protein"
"QNU39840"	"Fagus crenata (Japanese beech) ribosomal protein S3"
"QNU39854"	"Fagus crenata (Japanese beech) ribosomal protein S18"
"QNU39869"	"Fagus crenata (Japanese beech) ribosomal protein L32"
"WPW48044"	"Fagus crenata (Japanese beech) ribosomal protein L20"
"WPW48061"	"Fagus crenata (Japanese beech) ribosomal protein L2"
"WPW48142"	"Fagus crenata (Japanese beech) ribosomal protein S19"
"WPW47973"	"Fagus crenata (Japanese beech) ribosomal protein L36"
"WPW48065"	"Fagus crenata (Japanese beech) ribosomal protein S7"
"QBB88657"	"Fagus crenata (Japanese beech) ribosomal protein S12"
"WPW48127"	"Fagus crenata (Japanese beech) ribosomal protein S12"
"WPW48138"	"Fagus crenata (Japanese beech) ribosomal protein S8"
"WPW48083"	"Fagus crenata (Japanese beech) ribosomal protein S12"
"WPW48147"	"Fagus crenata (Japanese beech) ribosomal protein S7"
"WAQ68836"	"Fagus crenata (Japanese beech) partial LEAFY protein"
"QBB88623"	"Fagus crenata (Japanese beech) ribosomal protein S2"
"WAQ68873"	"Fagus crenata (Japanese beech) partial LEAFY protein"
"BAP28172"	"Fagus crenata (Japanese beech) LEAFY-like protein"
"QBB88669"	"Fagus crenata (Japanese beech) ribosomal protein L14"
"WPW47983"	"Fagus crenata (Japanese beech) ribosomal protein S7"
"WAQ68871"	"Fagus crenata (Japanese beech) partial LEAFY protein"
"WAQ68842"	"Fagus crenata (Japanese beech) partial LEAFY protein"
"WAQ68857"	"Fagus crenata (Japanese beech) partial LEAFY protein"
"WAQ68856"	"Fagus crenata (Japanese beech) partial LEAFY protein"
"WAQ68869"	"Fagus crenata (Japanese beech) partial LEAFY protein"
"WAQ68847"	"Fagus crenata (Japanese beech) partial LEAFY protein"
"QBB88614"	"Fagus crenata (Japanese beech) ribosomal protein S12"
"BAG75110"	"Fagus crenata (Japanese beech) transcription factor MYB558"
"WAQ68874"	"Fagus crenata (Japanese beech) partial LEAFY protein"
"WAQ68866"	"Fagus crenata (Japanese beech) partial LEAFY protein"
"WAQ68858"	"Fagus crenata (Japanese beech) partial LEAFY protein"
"WAQ68872"	"Fagus crenata (Japanese beech) partial LEAFY protein"
"WPW47994"	"Fagus crenata (Japanese beech) ribosomal protein S15"
"WAQ68861"	"Fagus crenata (Japanese beech) partial LEAFY protein"
"WAQ68868"	"Fagus crenata (Japanese beech) partial LEAFY protein"
"WAQ68864"	"Fagus crenata (Japanese beech) partial LEAFY protein"
"QBB88670"	"Fagus crenata (Japanese beech) ribosomal protein L16"
"WAQ68877"	"Fagus crenata (Japanese beech) partial LEAFY protein"
"WAQ68849"	"Fagus crenata (Japanese beech) partial LEAFY protein"
"WAQ68854"	"Fagus crenata (Japanese beech) partial LEAFY protein"
"WAQ68860"	"Fagus crenata (Japanese beech) partial LEAFY protein"
"WAQ68838"	"Fagus crenata (Japanese beech) partial LEAFY protein"
"WAQ68865"	"Fagus crenata (Japanese beech) partial LEAFY protein"
"WAQ68863"	"Fagus crenata (Japanese beech) partial LEAFY protein"
"WAQ68859"	"Fagus crenata (Japanese beech) partial LEAFY protein"
"WPW48077"	"Fagus crenata (Japanese beech) hypothetical chloroplast RF19"
"WPW48137"	"Fagus crenata (Japanese beech) ribosomal protein L36"
"WAQ68875"	"Fagus crenata (Japanese beech) partial LEAFY protein"
"WPW47834"	"Fagus crenata (Japanese beech) hypothetical chloroplast RF21"
"WPW47894"	"Fagus crenata (Japanese beech) ribosomal protein L16"
"WPW47937"	"Fagus crenata (Japanese beech) ribosomal protein S14"
"WPW47972"	"Fagus crenata (Japanese beech) ribosomal protein S11"
"QBB88672"	"Fagus crenata (Japanese beech) ribosomal protein S19"
"QLI46950"	"Fagus crenata (Japanese beech) partial pectinesterase-like"
"QLI46951"	"Fagus crenata (Japanese beech) partial pectinesterase-like"
"WAQ68844"	"Fagus crenata (Japanese beech) partial LEAFY protein"
"ANV28312"	"Fagus crenata (Japanese beech) partial LEAFY protein"
"QNU39847"	"Fagus crenata (Japanese beech) ribosomal protein S7"
"QNU39859"	"Fagus crenata (Japanese beech) ribosomal protein S19"
"QLI47107"	"Fagus crenata (Japanese beech) partial hypothetical protein"
"QLI47111"	"Fagus crenata (Japanese beech) partial hypothetical protein"
"QNU39860"	"Fagus crenata (Japanese beech) ribosomal protein S15"
"QBB88666"	"Fagus crenata (Japanese beech) ribosomal protein S11"
"WPW47764"	"Fagus crenata (Japanese beech) ribosomal protein S2"
"BBN45233"	"Fagus crenata (Japanese beech) transcription factor FcMYB1603"
"QBB88625"	"Fagus crenata (Japanese beech) RNA polymerase beta"
"WAQ68876"	"Fagus crenata (Japanese beech) partial LEAFY protein"
"QLI47106"	"Fagus crenata (Japanese beech) partial hypothetical protein"
"WPW47835"	"Fagus crenata (Japanese beech) ribosomal protein L23"
"QBB88693"	"Fagus crenata (Japanese beech) hypothetical chloroplast RF21"
"WAQ68853"	"Fagus crenata (Japanese beech) partial LEAFY protein"
"QLI46948"	"Fagus crenata (Japanese beech) partial pectinesterase-like"
"WPW47901"	"Fagus crenata (Japanese beech) ribosomal protein S7"
"WPW48164"	"Fagus crenata (Japanese beech) ribosomal protein L2"
"QBB88677"	"Fagus crenata (Japanese beech) ribosomal protein S7"
"BAG75108"	"Fagus crenata (Japanese beech) transcription factor MYB303A1"
"WAQ68839"	"Fagus crenata (Japanese beech) partial LEAFY protein"
"BAJ24080"	"Fagus crenata (Japanese beech) partial transcription factor"
"QBB88668"	"Fagus crenata (Japanese beech) ribosomal protein S8"
"QLI46953"	"Fagus crenata (Japanese beech) partial pectinesterase-like"
"WPW47859"	"Fagus crenata (Japanese beech) ribosomal protein S4"
"QBB88673"	"Fagus crenata (Japanese beech) ribosomal protein L2"
"WPW47832"	"Fagus crenata (Japanese beech) ribosomal protein S7"
"WPW47777"	"Fagus crenata (Japanese beech) ribosomal protein S4"
"WPW47899"	"Fagus crenata (Japanese beech) hypothetical chloroplast RF21"
"WPW48000"	"Fagus crenata (Japanese beech) ribosomal protein L2"
"QBB88690"	"Fagus crenata (Japanese beech) hypothetical chloroplast RF19"
"QBB88632"	"Fagus crenata (Japanese beech) ribosomal protein S14"
"QBB88675"	"Fagus crenata (Japanese beech) hypothetical chloroplast RF21"
"QBB88680"	"Fagus crenata (Japanese beech) ribosomal protein L32"
"QBB88656"	"Fagus crenata (Japanese beech) ribosomal protein L20"
"QBB88635"	"Fagus crenata (Japanese beech) hypothetical chloroplast RF34"
"WPW47819"	"Fagus crenata (Japanese beech) ribosomal protein S7"
"QBB88636"	"Fagus crenata (Japanese beech) ribosomal protein S4"
"QNU39837"	"Fagus crenata (Japanese beech) ribosomal protein S2"
"QLI46949"	"Fagus crenata (Japanese beech) partial pectinesterase-like"
"WAQ68878"	"Fagus crenata (Japanese beech) partial LEAFY protein"
"WAQ68840"	"Fagus crenata (Japanese beech) partial LEAFY protein"
"WAQ68867"	"Fagus crenata (Japanese beech) partial LEAFY protein"
"BAG75109"	"Fagus crenata (Japanese beech) transcription factor MYB303A2"
"QBB88662"	"Fagus crenata (Japanese beech) photosystem II phosphoprotein"
"ANV28311"	"Fagus crenata (Japanese beech) partial LEAFY protein"
"WXH79122"	"Fagus crenata (Japanese beech) ribosomal protein L23"
"WXH79054"	"Fagus crenata (Japanese beech) ribosomal protein S15"
"WXH78708"	"Fagus crenata (Japanese beech) ribosomal protein L16"
"WXH79165"	"Fagus crenata (Japanese beech) ribosomal protein S4"
"WXH78793"	"Fagus crenata (Japanese beech) ribosomal protein L2"
"WXH79115"	"Fagus crenata (Japanese beech) ribosomal protein L36"
"WXH78776"	"Fagus crenata (Japanese beech) ribosomal protein L20"
"WXH78857"	"Fagus crenata (Japanese beech) ribosomal protein S18"
"WXH78715"	"Fagus crenata (Japanese beech) ribosomal protein S7"
